power measure,,,,,,
,voltage,calculation,clock,storage,encrypt,noload
ESP32S2,0.2175,0.2186,0.185,0.1698,0.226,0.16
STM32F429,0.791,0.7635,0.7872,0.71,0.7435,0.8376
STM32F103,0.1599,0.1599,0.151,0.1459,0.1486,0.1454
,,,,,,
,,,,,,
time measure,,,,,,
total_time,,,,,,
,voltage,calculation,clock,storage,encrypt,
ESP32S2,121.16,176.09,75.69,51.26,2.86,
STM32F429,7.61,2.92,8.7,4.57,3.52,
STM32F103,20.04,4.67,2.69,4.71,6.48,
,,,,,,
pairs_number,,,,,,
,5025,1800,7296,5001,1000,
,164,200,160,2501,1000,
,164,200,160,2501,1000,
,,,,,,
usart_time,,,,,,
,1.25,1.25,1.25,1.25,1.25,
,1.25,1.25,1.25,1.25,1.25,
,1.34,1.34,1.34,1.34,1.34,
,,,,,,
average_time (ms): (total_time - usart_time) / pairs_number,,,,,,
,23.86268657,97.13333333,10.20285088,10,1.61,
,38.7804878,8.35,46.5625,1.327469012,2.27,
,114.0243902,16.65,8.4375,1.347461016,5.14,
